Stock,Sector,Train_Samples,Test_Samples,Baseline_Acc,Baseline_Precision,Baseline_Recall,Baseline_F1,Baseline_Loss,Baseline_Epochs,Sentiment_Acc,Sentiment_Precision,Sentiment_Recall,Sentiment_F1,Sentiment_Loss,Sentiment_Epochs,Acc_Diff,Precision_Diff,Recall_Diff,F1_Diff,Loss_Diff
RELIANCE,Energy,1160,291,0.5292096219931272,0.51931330472103,0.8287671232876712,0.6385224274406333,0.7061417793080569,3,0.5257731958762887,0.5178571428571429,0.7945205479452054,0.6270270270270271,0.7402219010382584,14,-0.0034364261168384758,-0.0014561618638870844,-0.03424657534246578,-0.011495400413606194,0.034080121730201474
HDFCBANK,Banking,1160,291,0.5257731958762887,0.5507246376811594,0.7169811320754716,0.6229508196721312,0.7012519967515034,6,0.570446735395189,0.5894736842105263,0.7044025157232704,0.6418338108882522,0.8192146508554413,14,0.044673539518900296,0.03874904652936684,-0.012578616352201255,0.018882991216121026,0.11796265410393791
TCS,IT,1160,291,0.563573883161512,0.5527638190954773,0.7432432432432432,0.6340057636887608,0.7214183901593447,10,0.563573883161512,0.5704697986577181,0.5743243243243243,0.5723905723905723,0.7600588806716028,11,0.0,0.017705979562240737,-0.16891891891891886,-0.06161519129818849,0.03864049051225804
BHARTIARTL,Telecom,1160,291,0.4982817869415807,0.4954954954954955,0.7638888888888888,0.6010928961748634,0.6935670771140003,1,0.5257731958762887,0.5157894736842106,0.6805555555555556,0.5868263473053892,0.7440038272195665,7,0.027491408934707973,0.02029397818871509,-0.08333333333333326,-0.014266548869474205,0.05043675010556614
ICICIBANK,Banking,1160,291,0.5395189003436426,0.5346153846153846,0.9144736842105264,0.6747572815533981,0.6935479348058143,7,0.5670103092783505,0.5755813953488372,0.6513157894736842,0.6111111111111112,0.6962735681599358,3,0.027491408934707917,0.04096601073345263,-0.26315789473684226,-0.06364617044228693,0.0027256333541214595
SBIN,Banking,1160,291,0.570446735395189,0.5988700564971752,0.6625,0.629080118694362,0.6854305949407754,5,0.584192439862543,0.6020942408376964,0.71875,0.6552706552706553,0.6826004820181332,7,0.013745704467354014,0.0032241843405211856,0.05625000000000002,0.026190536576293333,-0.002830112922642236
INFY,IT,1160,291,0.5017182130584192,0.4918032786885246,0.851063829787234,0.6233766233766234,0.701389915754705,5,0.5463917525773195,0.5207373271889401,0.8014184397163121,0.6312849162011173,0.9653125916354844,18,0.044673539518900296,0.028934048500415477,-0.049645390070921946,0.007908292824493901,0.26392267588077944
KOTAKBANK,Banking,1160,291,0.5429553264604811,0.5352941176470588,0.6275862068965518,0.5777777777777777,0.6918484845112279,3,0.5601374570446735,0.546448087431694,0.6896551724137931,0.6097560975609756,0.7173356419986057,5,0.01718213058419249,0.011153969784635231,0.06206896551724139,0.03197831978319787,0.025487157487377732
BAJFINANCE,Financial Services,1160,291,0.4707903780068728,0.4604651162790698,0.7226277372262774,0.5625,0.7080466894759345,2,0.5395189003436426,0.5086705202312138,0.6423357664233577,0.567741935483871,0.6800980447084224,6,0.06872852233676979,0.048205403952144066,-0.08029197080291972,0.005241935483870974,-0.027948644767512132
HINDUNILVR,FMCG,1160,291,0.5326460481099656,0.5177304964539007,0.5177304964539007,0.5177304964539007,0.6913778450071197,2,0.5532646048109966,0.5470085470085471,0.4539007092198581,0.4961240310077519,0.8516518516638845,13,0.020618556701030966,0.029278050554646384,-0.06382978723404259,-0.021606465446148804,0.16027400665676472
