stock,baseline_accuracy,sentiment_accuracy,improvement,improvement_pct,sentiment_loss,sentiment_precision,sentiment_recall,sentiment_f1,train_samples,test_samples,best_epoch
RELIANCE,0.5360824742268041,0.5257731958762887,-0.010309278350515427,-1.9230769230769162,0.7402219010382584,0.5178571428571429,0.7945205479452054,0.6270270270270271,1160,291,14
HDFCBANK,0.5395189003436426,0.570446735395189,0.030927835051546393,5.7324840764331215,0.8192146508554413,0.5894736842105263,0.7044025157232704,0.6418338108882522,1160,291,14
TCS,0.5670103092783505,0.563573883161512,-0.0034364261168384758,-0.6060606060606039,0.7600588806716028,0.5704697986577181,0.5743243243243243,0.5723905723905723,1160,291,11
BHARTIARTL,0.5292096219931272,0.5257731958762887,-0.0034364261168384758,-0.649350649350647,0.7440038272195665,0.5157894736842106,0.6805555555555556,0.5868263473053892,1160,291,7
ICICIBANK,0.5498281786941581,0.5670103092783505,0.01718213058419238,3.1249999999999885,0.6962735681599358,0.5755813953488372,0.6513157894736842,0.6111111111111112,1160,291,3
SBIN,0.5498281786941581,0.584192439862543,0.03436426116838487,6.249999999999997,0.6826004820181332,0.6020942408376964,0.71875,0.6552706552706553,1160,291,7
INFY,0.5085910652920962,0.5463917525773195,0.037800687285223344,7.432432432432429,0.9653125916354844,0.5207373271889401,0.8014184397163121,0.6312849162011173,1160,291,18
KOTAKBANK,0.5395189003436426,0.5601374570446735,0.020618556701030966,3.8216560509554216,0.7173356419986057,0.546448087431694,0.6896551724137931,0.6097560975609756,1160,291,5
BAJFINANCE,0.5498281786941581,0.5395189003436426,-0.010309278350515538,-1.8750000000000135,0.6800980447084224,0.5086705202312138,0.6423357664233577,0.567741935483871,1160,291,6
HINDUNILVR,0.5429553264604811,0.5532646048109966,0.010309278350515538,1.8987341772152038,0.8516518516638845,0.5470085470085471,0.45390070921985815,0.49612403100775193,1160,291,13
