Price,Close,High,Low,Open,Volume
Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
Date,,,,,
2018-01-01,453.5730895996094,462.33694341041485,451.42508279183596,456.2366052400809,4807939
2018-01-02,443.8211364746094,457.8691087310065,439.78289177354503,457.8691087310065,5242199
2018-01-03,445.23876953125,451.5109334107018,442.274514147386,446.0549893119316,6333269
2018-01-04,449.363037109375,452.97168660309615,442.05982482293115,445.92624330722253,5953924
2018-01-05,463.96942138671875,466.1174281019052,445.5395231885475,451.08138109559985,8008838
2018-01-08,443.6493225097656,458.94311065292806,441.80202668848005,458.94311065292806,12287843
2018-01-09,438.0215148925781,447.6875305787101,433.63955907588456,445.0669571453906,7541257
2018-01-10,435.1001892089844,444.6373492470739,433.29586477946043,442.48934258842354,6667296
2018-01-11,442.27459716796875,443.9500373231365,432.35081163126745,436.4749697752523,5905519
2018-01-12,437.8067321777344,444.50852196111543,433.46777620705507,443.34859065189164,4847824
2018-01-15,433.46771240234375,439.8687610708645,431.7063301006494,438.0214945804317,2834570
2018-01-16,427.2384948730469,441.3294079696798,422.21214594815916,436.47491470478866,6420450
2018-01-17,429.5154113769531,432.35078263924623,422.2551420978456,425.3053111276619,6824337
2018-01-18,425.3052978515625,437.16229135395685,423.5868866714559,430.46050229832144,7912892
2018-01-19,427.7970275878906,429.8161500069922,415.4244950047281,415.85411966089833,9966300
2018-01-22,421.6107482910156,428.312508454273,419.29088585484044,425.82081944170955,4532165
2018-01-23,422.8135986328125,428.5702541260222,419.97822752797066,424.4460964876088,6150836
2018-01-24,394.80364990234375,418.4317260990203,391.0661161038011,418.3458128043968,29348889
2018-01-25,388.9610290527344,398.2403909868811,381.87258676346147,398.2403909868811,20580178
2018-01-29,378.5647277832031,383.5480770847351,373.7961471713202,381.4860125471772,27139736
2018-01-30,381.0207214355469,390.1008737959648,378.12370510601164,381.0207214355469,10679523
2018-01-31,380.3721008300781,385.6905006401805,377.38861396730096,382.66376380344866,7069368
2018-02-01,379.1181335449219,386.55522492735264,371.94048341412343,380.54503114659155,8096718
2018-02-02,365.23846435546875,380.9341622171688,359.5741825054508,378.59927880874704,6668088
2018-02-05,380.6747741699219,386.3390563758749,355.5962325648182,361.26051477077124,15080352
2018-02-06,379.7667541503906,387.20381659275733,361.9523339882594,363.20626105244224,9331070
2018-02-07,372.0701904296875,388.63068215976347,369.3461452341176,384.7824306246543,10982569
2018-02-08,371.68109130859375,377.04271152912395,367.5301481898698,375.31315189632227,6173490
2018-02-09,365.3681640625,375.2698588819876,362.94678085430513,366.6653409588953,5393964
2018-02-12,367.0112609863281,372.7187926053737,364.37368645061537,371.68105692170116,3987231
2018-02-14,376.0049743652344,379.2046523535608,368.6543532734651,368.6543532734651,10468199
2018-02-15,370.9460144042969,379.89644516656534,369.0002634938368,379.89644516656534,4583095
2018-02-16,362.9468078613281,376.1346812286915,361.82260146587595,376.1346812286915,4403814
2018-02-19,358.3202209472656,363.20620785660066,348.67796774138213,363.07648724381403,6457099
