Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2018-01-01,415.2442321777344,419.64353927650944,413.8179468212587,416.91151768006387,5431340
2018-01-02,413.69744873046875,418.6391784194567,411.00564253656836,416.7307944487346,6112248
2018-01-03,410.3226623535156,414.4608376829335,409.2378917568076,413.2153757708056,6846552
2018-01-04,407.9521484375,410.2020223951051,405.62189206209626,410.2020223951051,8947614
2018-01-05,406.58612060546875,412.3715455690435,404.17553095761025,407.9119400074337,11025976
2018-01-08,416.2486877441406,417.43387499025016,409.82042260652196,411.7689977562696,5594690
2018-01-09,418.37786865234375,419.8041536642457,413.375915266611,417.8354958462567,9948236
2018-01-10,422.7572326660156,424.26385145669997,415.04336407514415,420.56763297431996,9468634
2018-01-11,432.2187805175781,435.2721845244803,423.96249064870875,423.96249064870875,16775298
2018-01-12,433.2834777832031,436.2766566883595,430.1095732752301,436.2364899940021,18016528
2018-01-15,434.36822509765625,439.10902251367736,427.91987744490405,433.9061855543227,10649250
2018-01-16,451.12176513671875,455.9228857242804,434.40835299438913,434.40835299438913,22646966
2018-01-17,462.87347412109375,466.77062427818566,451.18212173698186,451.9253772223112,26154088
2018-01-18,463.114501953125,468.0160644435227,454.8381526533535,460.0209310300058,13204970
2018-01-19,459.39813232421875,461.1860158551698,456.40500293472655,460.0208876410756,5988278
2018-01-22,462.02978515625,464.8220325012829,454.79801460597827,454.8582891692804,9650214
2018-01-23,472.9175720214844,477.29682033325787,464.0385753240007,464.0385753240007,15403796
2018-01-24,476.41290283203125,490.5751174831653,469.0605845446514,471.99348833096815,20604718
2018-01-25,472.234619140625,475.44873933345747,466.9513992649403,474.8862584909954,13548914
2018-01-29,475.2479248046875,480.6114788350061,468.13665343464305,468.6790755296416,10823002
2018-01-30,470.3262023925781,475.3281569755218,467.1321412481192,473.64076360969415,8628312
2018-01-31,462.1302490234375,468.69909778592955,458.8759619253171,465.7059677791736,9213698
