Price,Close,High,Low,Open,Volume,log_return,return_lag_1,return_lag_2,return_lag_3,return_lag_5,price_change_5d,price_change_10d,price_change_20d,high_low_ratio,open_close_ratio,volatility_5d,volatility_10d,volatility_20d,volume_change,volume_ma_5,volume_ma_20,volume_ratio_5d,volume_ratio_20d,price_volume_trend,sma_5,sma_10,sma_20,ema_10,ema_20,price_to_sma_5,price_to_sma_20,rsi_14,macd,macd_signal,macd_hist,bollinger_upper,bollinger_lower,bollinger_mid,bollinger_width,bollinger_position,target
Ticker,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-30,381.0207214355469,390.1008737959648,378.1237051060117,381.0207214355469,10679523,0.006466691044730963,-0.027092086643148112,-0.014909396240532936,-0.06854286429751981,-0.01456635753818545,-0.09627370037409866,-0.12099399670653144,-0.15995739127316377,0.031434428670512965,0.0,0.030227796824132135,0.02266244510432211,0.021812977492777906,-0.6064986409595141,18779832.4,9758892.25,0.5686697715151069,1.0943376283307156,69061.17574609835,393.2327453613281,409.76307067871096,426.51715698242185,405.0102727390673,419.753838014518,-0.03105546033446438,-0.10666964927919664,17.68830649402416,-16.13511211066958,-10.424687636710388,-5.710424473959193,473.160485334702,379.8738286301417,426.51715698242185,0.21871724308714022,0.01229428565585101,0
2018-01-31,380.3721008300781,385.6905006401805,377.38861396730096,382.6637638034487,7069368,-0.0017037743025802687,0.006466691044730963,-0.027092086643148112,-0.014909396240532936,0.002848925803109196,-0.10037874358812238,-0.10969609388052692,-0.14296082459822446,0.021825698190699388,-0.005988711736363103,0.029415872568398733,0.022921967998037047,0.0216429147232276,-0.3380445924410669,18963538.8,9850250.7,0.3727873829118856,0.7176840686907594,-12044.607533883269,384.74444580078125,405.07643127441406,423.34470520019534,400.5306051192511,416.00319637790466,-0.011364283535277075,-0.1015073623037187,18.15612241708979,-17.213959864626588,-11.782542082293627,-5.431417782332961,473.52910175566564,373.16030864472503,423.34470520019534,0.2370852685248,0.07185293318593243,0
2018-02-01,379.1181335449219,386.55522492735264,371.9404834141234,380.5450311465916,8096718,-0.0033021317927386454,-0.0017037743025802687,0.006466691044730963,-0.027092086643148112,-0.06854286429751981,-0.03972991729256237,-0.11733520264259245,-0.14850601634700478,0.03854930751155314,-0.0037496156430435017,0.013068919536980531,0.022369924443238716,0.02151912958443226,0.1453241647626775,14713104.6,9938423.15,0.5503065614037707,0.8146883945065269,-26736.42992463926,381.6073425292969,400.0367034912109,420.0386734008789,396.63742846937305,412.49033325095394,-0.006522958829556336,-0.09742088633087143,10.532856055823913,-17.963072049424454,-13.018648075719794,-4.9444239737046605,472.7958979718655,367.2814488298923,420.0386734008789,0.25120174837156406,0.11218069952772913,0
2018-02-02,365.2384643554688,380.9341622171688,359.5741825054508,378.59927880874704,6668088,-0.0372973872638042,-0.0033021317927386454,-0.0017037743025802687,0.006466691044730963,-0.014909396240532936,-0.06098956688550239,-0.14123227196915344,-0.18720848357945885,0.05848228430543781,-0.03529012124723982,0.01863261448993277,0.02365803098347871,0.02206263383930057,-0.1764455672038967,11930686.6,9974131.35,0.5589022848022845,0.6685382181176108,-248702.26044512563,376.8628295898438,394.03002014160154,415.8324447631836,390.92852590320865,407.9901552609077,-0.03084508293647925,-0.12166915074779228,9.424272094152627,-19.45248600932871,-14.305415662441577,-5.147070346887132,472.0464904953956,359.61839903097166,415.8324447631836,0.27036873356154706,0.049988087952871886,1
2018-02-05,380.6747741699219,386.3390563758749,355.5962325648182,361.2605147707712,15080352,0.041394932232115524,-0.0372973872638042,-0.0033021317927386454,-0.0017037743025802687,-0.027092086643148112,0.005573806094071987,-0.11015096033664584,-0.17952615706406827,0.08075876285233978,0.05374033033050824,0.02808060504704057,0.02919851913276448,0.023089466868216665,1.2615706331410141,9518809.8,10327707.05,1.5842686551001364,1.4601839427658823,624250.1490764478,377.2848388671875,389.3177947998047,411.66771240234374,389.0642074062474,405.38869039509956,0.008985082233658792,-0.07528629838749878,23.740223088008946,-19.16633848833635,-15.277600227620534,-3.888738260715817,465.14093900143877,358.1944858032487,411.66771240234374,0.25978829521044844,0.2102013455744376,0
2018-02-06,379.7667541503906,387.2038165927573,361.9523339882594,363.20626105244224,9331070,-0.0023881400930049626,0.041394932232115524,-0.0372973872638042,-0.0033021317927386454,0.006466691044730963,-0.0032910737254178146,-0.09924793025376644,-0.14399338648368798,0.06649208317613314,0.04559528530692719,0.027937305979207617,0.029318032400969092,0.021616827288939586,-0.3812432229698617,9249119.2,10179868.4,1.0088603896466164,0.9166199044380573,-22283.902377635815,377.03404541015624,385.1333953857422,408.473583984375,387.373761359728,402.94850599084157,0.007247909767038596,-0.07027830185239714,25.067190427159275,-18.796163668736995,-15.981312915843827,-2.814850752893168,461.53339521895003,355.4137727498,408.473583984375,0.2597955574850817,0.2294861292751986,0
2018-02-07,372.0701904296875,388.63068215976347,369.3461452341176,384.7824306246543,10982569,-0.020474738972368667,-0.0023881400930049626,0.041394932232115524,-0.0372973872638042,-0.0017037743025802687,-0.02182576057043495,-0.1200136617346419,-0.15056640420748457,0.05183037346629406,-0.03303747568289382,0.029338810151892585,0.02906896043398175,0.02177863888915246,0.17698924131959148,10031759.4,10351934.0,1.0947799445828017,1.0609195344560736,-224865.23352102799,375.3736633300781,380.0590545654297,405.17601776123047,384.5912939179024,400.0077140326364,-0.008800491944704558,-0.08170727259344401,21.45408532329938,-18.905910261657027,-16.56623238500647,-2.3396778766505584,458.69931309405484,351.6527224284061,405.17601776123047,0.26419774609841573,0.1907344070868515,0
2018-02-08,371.68109130859375,377.042711529124,367.5301481898698,375.3131518963223,6173490,-0.0010463152565797875,-0.020474738972368667,-0.0023881400930049626,0.041394932232115524,-0.0033021317927386454,-0.01961668825172913,-0.05856723614249626,-0.14575745879515023,0.025593347527480898,-0.009677413566183542,0.02937749200447466,0.02154660097673045,0.021835172067256572,-0.43788288514281126,9647113.8,10327243.7,0.6399312921964286,0.5977868034623799,-6459.416773342752,373.8862548828125,377.7467987060547,402.00506286621095,382.24398435257353,397.30994043987045,-0.005897953041654191,-0.07543181506574492,22.300966368168204,-18.80748133686211,-17.014482175377598,-1.7929991614845129,455.5782000721505,348.4319256602714,402.00506286621095,0.2665296641986268,0.21698529207791803,0
