Price,Close,High,Low,Open,Volume,log_return,return_lag_1,return_lag_2,return_lag_3,return_lag_5,price_change_5d,price_change_10d,price_change_20d,high_low_ratio,open_close_ratio,volatility_5d,volatility_10d,volatility_20d,volume_change,volume_ma_5,volume_ma_20,volume_ratio_5d,volume_ratio_20d,price_volume_trend,sma_5,sma_10,sma_20,ema_10,ema_20,price_to_sma_5,price_to_sma_20,rsi_14,macd,macd_signal,macd_hist,bollinger_upper,bollinger_lower,bollinger_mid,bollinger_width,bollinger_position,target
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-30,1243.0350341796875,1251.6903397203066,1234.0246175080513,1240.4162927722532,1310365,0.0021089806682302284,0.017725846089225734,0.005002295265989524,-0.0017920853425853053,-0.005409205699462591,0.03331854498030462,0.024173259343282405,0.04146523513743161,0.014211765337662764,0.002111179466678542,0.007528666144573366,0.008924104302966947,0.007385515487620962,-0.06827764702536276,1589374.8,1161877.55,0.8244531120035374,1.127799568896051,2763.5344533255034,1225.86650390625,1219.0443359375,1213.7557495117187,1222.2771934182058,1215.1689536445572,0.014005220159560183,0.024122880307465122,64.80431335368894,8.126234609869698,5.691748756494758,2.43448585337494,1240.1385598013546,1187.3729392220828,1213.7557495117187,0.043473013907863185,1.0548932116505934,0
2018-01-31,1215.604248046875,1242.8129971210717,1209.6121139536126,1242.8129971210717,1491912,-0.022314720648603084,0.0021089806682302284,0.017725846089225734,0.005002295265989524,0.009730474730339975,0.000730582777943134,-0.009153822181944493,0.02297164447265998,0.02731224674543819,-0.021892874581473414,0.014532102671025768,0.011290960290936004,0.009095167093308482,0.1385468934228249,1630778.2,1201673.75,0.9148466664565421,1.2415283266360775,-33291.59951229872,1226.043994140625,1217.9213134765625,1215.1206176757812,1221.0639306234184,1215.2104102543017,-0.008514984897477151,0.0003980101761575927,51.12367278286397,7.136215741201795,5.980642153436166,1.1555735877656295,1238.627683364136,1191.6135519874265,1215.1206176757812,0.0386909173400708,0.5102869149536895,1
2018-02-01,1217.2911376953125,1229.3198373152325,1199.3147325625284,1218.844654188269,1563429,0.0013867344470724601,-0.022314720648603084,0.0021089806682302284,0.017725846089225734,-0.0017920853425853053,0.003916786459230437,3.670393453147902e-05,0.015477400341749492,0.024649078452597995,-0.0012745812090312278,0.01449560190577718,0.011036267010751066,0.008918511746115488,0.0479364734649228,1579598.0,1238204.7,0.9897638513090039,1.262657943391751,2168.060849852049,1226.99384765625,1217.92578125,1216.0482849121095,1220.3779682728536,1215.408574772493,-0.007907708730138463,0.0010220422976814358,47.483159794166426,6.413802232106718,6.067274169170276,0.346528062936442,1238.2619271585959,1193.834642665623,1216.0482849121095,0.03653414510278581,0.5279749887346732,1
2018-02-02,1218.13427734375,1223.1943668691497,1200.2023040171828,1200.2023040171828,1699619,0.0006923962252470283,0.0013867344470724601,-0.022314720648603084,0.0021089806682302284,0.005002295265989524,-0.0004006829239756593,0.011238384869156182,0.014752980945358596,0.018874818055447183,0.01494079228688975,0.014308830310257733,0.01040860266436034,0.008917251974230664,0.08710980799255985,1494343.0,1291176.2,1.1373687299368351,1.3163338977282883,1176.8097799581292,1226.89619140625,1219.2795532226562,1216.9337768554688,1219.970024467562,1215.668165493565,-0.007141528455196555,0.0009864961521433013,49.371853751125116,5.841975982040594,6.022214531744341,-0.18023854970374664,1237.9020882909304,1195.9654654200071,1216.9337768554688,0.034460891519739516,0.5286265418170717,0
2018-02-05,1203.53173828125,1208.5917214212132,1190.659741080381,1200.2915242094628,1585136,-0.012060057792199468,0.0006923962252470283,0.0013867344470724601,-0.022314720648603084,0.017725846089225734,-0.029735599798848433,-0.004917212788144387,-0.0005893475879626964,0.014899466105015666,0.0026995225796677376,0.010816596297709473,0.01112651461271478,0.00933838548366243,-0.06735803730130108,1530092.2,1342010.45,1.035974172013948,1.181165169019362,-19116.831768495897,1219.519287109375,1218.6848266601562,1216.898291015625,1216.9812451609598,1214.5123152828685,-0.013109713800443679,-0.01098411661275267,46.25699459132886,4.162513826923032,5.650274390780079,-1.487760563857047,1237.9592417719296,1195.8373402593206,1216.898291015625,0.03461415125947291,0.18266976906600724,0
2018-02-06,1176.54443359375,1197.0952562923983,1153.152938764424,1154.0406623508477,1540401,-0.02267865346105925,-0.012060057792199468,0.0006923962252470283,0.0013867344470724601,0.0021089806682302284,-0.05349052822941269,-0.021954209819940007,-0.03146043366084417,0.037348625579530864,0.01949998121995183,0.011786440940836857,0.013133532053156755,0.01037329532445154,-0.02822155322950204,1576099.4,1378940.7,0.977350159514051,1.1170900967677582,-34934.22047006913,1206.2211669921876,1216.0438354492187,1214.9874450683594,1209.6290976032853,1210.8963265505713,-0.024603061370941592,-0.03164066561399448,33.19477735046152,0.6464264217515847,4.64950479697438,-4.003078375222795,1242.737335462439,1187.2375546742799,1214.9874450683594,0.0456793039413148,-0.1926696092971099,0
2018-02-07,1165.270263671875,1180.672244588114,1160.2990337886513,1173.5704566507418,1561287,-0.009628649985080694,-0.02267865346105925,-0.012060057792199468,0.0006923962252470283,-0.022314720648603084,-0.04140655518099101,-0.040706223319157187,-0.035738088768436205,0.017483678623416304,-0.007072598779075224,0.009965199112055685,0.012591921310813234,0.010500672164799328,0.01355880708984225,1589974.4,1421585.75,0.9819573195643905,1.098271419785968,-15033.08604925668,1196.1543701171875,1211.0991821289062,1212.8280456542968,1201.5638550703015,1206.5509872287905,-0.02581949890153956,-0.03921230396413311,32.82486965038146,-3.015073578025067,3.116589121974491,-6.131662699999557,1248.3502422046886,1177.305849103905,1212.8280456542968,0.0585774655816575,-0.1694093637334111,1
2018-02-08,1180.2730712890625,1187.3748607844148,1158.7013423510473,1176.855248402658,1146084,0.012792781954085657,-0.009628649985080694,-0.02267865346105925,-0.012060057792199468,0.0013867344470724601,-0.030410199548758787,-0.02661252334734332,-0.026541276563526894,0.024293969870930816,0.002904199892929539,0.013470987842885872,0.013692672571055406,0.010949216288936565,-0.2659363717240969,1506505.4,1431913.7,0.7607566491298339,0.8003862243932718,14661.602713066306,1188.7507568359374,1207.8723022460938,1211.21904296875,1197.6928034737125,1204.048328567864,-0.007131592134115405,-0.025549442819060686,42.085562261980606,-4.652605180148157,1.5627502615499616,-6.215355441698119,1249.61197988624,1172.82610605126,1211.21904296875,0.06339553054480929,0.0969835318122016,1
