Price,Close,High,Low,Open,Volume,log_return,return_lag_1,return_lag_2,return_lag_3,return_lag_5,price_change_5d,price_change_10d,price_change_20d,high_low_ratio,open_close_ratio,volatility_5d,volatility_10d,volatility_20d,volume_change,volume_ma_5,volume_ma_20,volume_ratio_5d,volume_ratio_20d,price_volume_trend,sma_5,sma_10,sma_20,ema_10,ema_20,price_to_sma_5,price_to_sma_20,rsi_14,macd,macd_signal,macd_hist,bollinger_upper,bollinger_lower,bollinger_mid,bollinger_width,bollinger_position,target
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-30,289.3177490234375,294.2081633978207,286.964833198143,287.9336742652471,25810404,0.004635020145600656,-0.0033586219626372516,-0.05210737772830407,0.03642389908393452,-0.008932272732328064,0.023001433549813655,0.03618632494233154,0.021002771463766612,0.025035899885599212,0.004806922155674645,0.03657589702801046,0.029313423506312743,0.02120520914408284,0.09361957328911807,33040037.8,21931707.35,0.7811856680139755,1.176853383464466,119631.74250609174,292.8333374023438,286.87721252441406,283.65462493896484,287.93811922572854,285.66108084245036,-0.012005424007021315,0.01996485721215091,55.97930148055478,2.275796116191941,1.142079258275525,1.133716857916416,297.2455674906361,270.06368238729357,283.65462493896484,0.09582739963852657,0.7083418446859766,0
2018-01-31,289.0409851074219,292.1320914578641,284.0583209241372,288.81030594931536,16409938,-0.0009570666813126335,0.004635020145600656,-0.0033586219626372516,-0.05210737772830407,0.03714796874937947,-0.015246720788460122,0.05774096305147025,0.03297600376924703,0.027932960893854764,0.0007987220447285362,0.031734632361911395,0.028050422622040033,0.020969007273266695,-0.3642122765687821,29271582.0,22012336.05,0.560609877525581,0.74548825543666,-15705.404902206074,291.9383056640625,288.45505676269534,284.11598205566406,288.1386402951273,285.9829764867334,-0.009924427526049384,0.017334480855754508,58.159875932516336,2.246421895458184,1.3629477857120569,0.883474109746127,297.784188943738,270.4477751675901,284.11598205566406,0.09621568480013251,0.6801627342960062,0
2018-02-01,282.3973999023437,292.87023878602554,281.42855875060303,292.4088804929918,19515991,-0.023253196606027694,-0.0009570666813126335,0.004635020145600656,-0.0033586219626372516,0.03642389908393452,-0.07229477565180287,-0.003419150993404174,0.01056619392378022,0.04051623718695418,-0.03423794986584902,0.023255816857372325,0.027116773092966784,0.021692057160972052,0.1892787772872755,25560676.2,22295266.95,0.7635162249737353,0.8753423335888786,-453809.175684467,287.53693847656245,288.35816955566406,284.2636154174805,287.0947784055303,285.64149300250574,-0.017874359383003857,-0.006565087524113777,52.38980566379381,1.6678350463818106,1.4239252378460077,0.2439098085358029,297.7823468229214,270.74488401203956,284.2636154174805,0.09511404676667316,0.43097667750149665,0
2018-02-02,274.3697814941406,282.1205951569061,272.66275018435243,279.49084726442976,23274673,-0.028838534394797517,-0.023253196606027694,-0.0009570666813126335,0.004635020145600656,-0.05210737772830407,-0.05045504084114194,-0.01945601127284069,-0.036142657613750684,0.03447116122281734,-0.018322838906577973,0.014747675056840206,0.028388079183096604,0.022204935879956478,0.19259498531230101,21722380.8,22233145.65,1.0714605003149562,1.046845703545328,-671207.4578381651,284.62115478515625,287.8137634277344,283.74920043945315,284.78114260345944,284.5679966683757,-0.036017608384569244,-0.03305531409704865,47.25336372750841,0.5551397782586491,1.2501681459285359,-0.6950283676698867,297.96950734657474,269.52889353233155,283.74920043945315,0.10023152054770951,0.17021038974147365,1
2018-02-05,275.0156555175781,277.18404503443185,267.5877985792661,270.03299179653766,18940578,0.0023512611637697884,-0.028838534394797517,-0.023253196606027694,-0.0009570666813126335,-0.0033586219626372516,-0.04501774170234718,-0.03621681448818026,-0.02709348091927266,0.034893455200234465,0.018452055387346022,0.015620090852513155,0.027441123731760764,0.02218911313007677,-0.1862150759325384,20790316.8,22451145.8,0.911028830498629,0.843635250010269,44534.24547075245,282.0283142089844,286.7803161621094,283.36626892089845,283.00559949693553,283.65824989210927,-0.024865087433064814,-0.029469327577769655,47.45951196451456,-0.27143368382297695,0.9458477799782334,-1.2172814638012104,298.1112448373061,268.6212930044908,283.36626892089845,0.10407008549435869,0.21683190767276644,0
2018-02-06,269.2025756835937,274.323641695178,261.0365279102195,262.974238456981,30577218,-0.021363859557944526,0.0023512611637697884,-0.028838534394797517,-0.023253196606027694,0.004635020145600656,-0.06952623338091257,-0.04812400286817886,-0.04594507486448274,0.049357305557787445,0.023684210526315627,0.014112602155957698,0.02798133195966466,0.02263564440197433,0.6143761821840918,21743679.6,23302146.85,1.406257752252751,1.3122060468003616,-653247.3910246535,278.0052795410156,285.4193084716797,282.7180603027344,280.4959588036006,282.28151901510773,-0.03166380103268229,-0.04780552259260806,47.539136273586706,-1.3796621815116055,0.48074578768026566,-1.8604079691918711,298.76723383596203,266.66888676950674,282.7180603027344,0.1135348305378312,0.07893518344858354,1
2018-02-07,270.17138671875,274.87724661870044,267.58779171752064,273.6777264022168,21463818,0.0035923576018361877,-0.021363859557944526,0.0023512611637697884,-0.028838534394797517,-0.0009570666813126335,-0.06528346968392384,-0.07953483163801134,-0.03779174726754053,0.026980854596449774,-0.012811929306638737,0.015294172981642476,0.024119918082894022,0.02266483986387218,-0.29804542715429505,22754455.6,23596600.0,0.9432797856082304,0.9096148597679327,77105.70975672839,274.2313598632812,283.0848327636719,282.1874969482422,278.6187638790823,281.1281730821213,-0.01480491927165195,-0.04258200791828903,41.006239490257194,-2.154925654884721,-0.046388500832731716,-2.1085371540519895,299.17993571863434,265.19505817785006,282.1874969482422,0.1204336758655812,0.14642773200897935,1
2018-02-08,278.1067810058594,279.8599369354628,269.9407333642783,270.26368981003907,18932796,0.0289486210341842,0.0035923576018361877,-0.021363859557944526,0.0023512611637697884,-0.023253196606027694,-0.015193549579309407,-0.08638991097292159,0.0009963826619092675,0.035666888578943186,0.02902014399837803,0.022900062877613474,0.022651376915459098,0.023575884481143807,-0.11792039980957725,22637816.6,23890009.85,0.8363348963609856,0.7924984593507817,548078.3365215185,273.37323608398435,280.45508728027346,282.20133819580076,278.5256760839508,280.84042145581066,0.017315319486582048,-0.01450934717786645,48.902052059734395,-2.104745348671031,-0.4580598704003916,-1.6466854782706395,299.17927670649897,265.22339968510255,282.20133819580076,0.12032500355415285,0.3794153604879266,0
